city,date,Index Value,Air Quality,Prominent Pollutant
Chennai,2019-07-15,78,Satisfactory,PM2.5
Pune,2019-08-20,74,Satisfactory,SO2
Delhi,2022-08-07,118,Moderate,"PM10, PM2.5"
Patna,2022-12-26,352,Very Poor,"PM10, PM2.5"
Ahmedabad,2018-10-16,290,Poor,PM2.5
Delhi,2023-06-17,119,Moderate,"O3, PM10"
Bengaluru,2019-02-18,104,Moderate,"OZONE, PM10, PM2.5"
Visakhapatnam,2021-09-26,101,Moderate,PM10
Kolkata,2017-09-12,64,Satisfactory,PM10
Mumbai,2023-11-14,168,Moderate,"O3, PM10, PM2.5"
Lucknow,2017-09-25,60,Satisfactory,PM2.5
Hyderabad,2017-02-04,169,Moderate,"PM10, PM2.5"
Kanpur,2023-01-03,181,Moderate,PM2.5
Ahmedabad,2018-02-04,227,Poor,PM2.5
Mumbai,2023-05-11,121,Moderate,PM10
Bengaluru,2018-11-16,62,Satisfactory,"CO, PM10"
Agra,2020-05-03,61,Satisfactory,PM2.5
Patna,2018-06-21,163,Moderate,OZONE
Pune,2022-10-25,122,Moderate,PM2.5
Chennai,2020-05-23,64,Satisfactory,"O3, PM2.5"
Mumbai,2022-08-03,89,Satisfactory,"CO, PM10, PM2.5"
Bengaluru,2018-01-16,88,Satisfactory,"O3, PM2.5"
Lucknow,2019-08-19,57,Satisfactory,CO
Visakhapatnam,2021-04-18,42,Good,NO2
Pune,2016-09-14,125,Moderate,NO2
Hyderabad,2017-09-02,83,Satisfactory,"PM10, PM2.5"
Kanpur,2021-01-01,364,Very Poor,PM2.5
Bengaluru,2019-08-29,44,Good,"CO, PM10, PM2.5"
Hyderabad,2022-02-25,86,Satisfactory,"PM10, PM2.5"
Nashik,2020-06-12,42,Good,O3
Howrah,2016-07-05,65,Satisfactory,PM10
Delhi,2020-03-02,205,Poor,"PM10, PM2.5"
Nashik,2022-09-06,45,Good,O3
Pune,2019-07-31,74,Satisfactory,SO2
Lucknow,2018-04-07,138,Moderate,PM2.5
Guwahati,2022-12-03,160,Moderate,PM2.5
Delhi,2017-09-23,72,Satisfactory,"CO, PM2.5"
Delhi,2016-11-05,485,Severe,"PM10, PM2.5"
Howrah,2022-04-11,48,Good,"CO, PM10"
Chennai,2018-04-09,73,Satisfactory,"OZONE, PM2.5"
Delhi,2016-09-03,232,Poor,"PM10, PM2.5"
Lucknow,2017-09-18,96,Satisfactory,PM2.5
Hyderabad,2019-08-31,30,Good,"NO2, PM10, PM2.5"
Chennai,2016-08-18,90,Satisfactory,PM2.5
Chennai,2021-11-15,52,Satisfactory,"CO, SO2"
Hyderabad,2015-05-06,82,Satisfactory,O3
Pune,2023-06-07,102,Moderate,"NO2, PM2.5"
Kolkata,2021-02-16,209,Poor,PM2.5
Agra,2017-05-22,130,Moderate,PM2.5
Delhi,2020-02-22,100,Satisfactory,"NO2, O3, PM10"
Kanpur,2020-01-14,353,Very Poor,PM2.5
Visakhapatnam,2020-11-24,114,Moderate,PM2.5
Hyderabad,2019-10-27,54,Satisfactory,"PM10, PM2.5"
Hyderabad,2017-08-24,72,Satisfactory,"O3, PM2.5"
Howrah,2017-10-18,121,Moderate,PM10
Lucknow,2019-11-07,366,Very Poor,PM2.5
Lucknow,2015-05-21,94,Satisfactory,"CO, PM2.5"
Mumbai,2023-12-14,134,Moderate,"O3, PM2.5"
Mumbai,2020-08-10,42,Good,"CO, PM10, SO2"
Lucknow,2019-05-30,222,Poor,PM2.5
Patna,2018-09-02,93,Satisfactory,PM2.5
Pune,2019-01-22,100,Satisfactory,PM10
Howrah,2019-12-12,170,Moderate,PM2.5
Chennai,2021-10-06,45,Good,"CO, O3, PM10"
Kolkata,2017-10-09,27,Good,NO2
Howrah,2022-06-04,83,Satisfactory,PM10
Howrah,2022-01-10,245,Poor,PM2.5
Pune,2019-06-17,60,Satisfactory,SO2
Bengaluru,2022-05-05,68,Satisfactory,"NO2, PM10"
Lucknow,2018-03-06,184,Moderate,PM2.5
Ahmedabad,2020-03-16,94,Satisfactory,PM10
Hyderabad,2023-01-15,103,Moderate,"PM10, PM2.5"
Howrah,2021-09-26,63,Satisfactory,"O3, PM10, PM2.5"
Ahmedabad,2020-10-22,159,Moderate,O3
Howrah,2022-10-12,42,Good,"CO, PM10"
Ahmedabad,2019-04-18,188,Moderate,PM2.5
Patna,2016-03-09,186,Moderate,PM2.5
Pune,2015-11-21,152,Moderate,PM2.5
Mumbai,2021-10-23,111,Moderate,"PM10, PM2.5"
Hyderabad,2017-11-19,80,Satisfactory,"PM10, PM2.5"
Ahmedabad,2021-05-31,96,Satisfactory,O3
Nashik,2019-08-17,31,Good,OZONE
Nashik,2016-05-23,62,Satisfactory,PM10
Pune,2018-02-03,89,Satisfactory,SO2
Lucknow,2017-10-25,363,Very Poor,PM2.5
Guwahati,2021-12-23,219,Poor,PM2.5
Chennai,2018-12-01,98,Satisfactory,PM2.5
Bengaluru,2023-08-09,60,Satisfactory,PM10
Visakhapatnam,2017-08-14,107,Moderate,PM10
Bengaluru,2019-07-14,58,Satisfactory,"CO, PM10, PM2.5"
Guwahati,2021-12-19,218,Poor,PM2.5
Pune,2015-10-11,92,Satisfactory,PM10
Kanpur,2023-11-10,232,Poor,PM2.5
Howrah,2022-02-08,204,Poor,PM2.5
Patna,2022-10-04,40,Good,"NO2, O3, PM10"
Visakhapatnam,2021-11-13,33,Good,CO
Chennai,2023-06-24,62,Satisfactory,NO2
Mumbai,2016-12-01,193,Moderate,PM10
Guwahati,2022-02-16,202,Poor,"PM10, PM2.5"
Lucknow,2021-05-12,116,Moderate,"PM10, PM2.5"
Mumbai,2021-10-26,96,Satisfactory,"PM10, PM2.5"
Lucknow,2018-12-04,357,Very Poor,PM2.5
Pune,2019-11-13,135,Moderate,PM2.5
Nashik,2022-08-13,45,Good,O3
Delhi,2020-10-13,300,Poor,"PM10, PM2.5"
Patna,2021-09-23,49,Good,"O3, PM10"
Pune,2016-11-12,261,Poor,PM2.5
Mumbai,2022-09-03,79,Satisfactory,"CO, PM10, PM2.5"
Kanpur,2023-08-04,103,Moderate,PM2.5
