date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city
2022-11-15,0.0,27.7,14.4,21.1,27.0,14.2,21.1,2022-11-15 00:55:00,2022-11-15 11:45:00,38988.76,34175.98,0.0,0.0,0.0,0.0,12.7,25.2,281.0,14.49,3.38,Lucknow
2023-12-12,1.0,31.4,19.9,25.2,33.3,20.4,25.9,2023-12-12 01:32:00,2023-12-12 12:32:00,39598.71,36000.0,0.0,0.0,0.0,0.0,18.8,38.5,347.0,16.65,4.56,Mumbai
2016-04-07,2.0,35.7,20.9,28.1,35.1,19.8,26.8,2016-04-07 00:31:00,2016-04-07 13:08:00,45409.73,40765.0,0.0,0.0,0.0,0.0,13.0,29.9,298.0,20.7,6.44,Agra
2017-08-26,61.0,31.3,25.8,27.6,36.9,31.8,33.7,2017-08-26 00:13:00,2017-08-26 13:03:00,46173.91,7597.66,8.3,8.3,0.0,10.0,13.1,28.1,88.0,10.41,2.34,Lucknow
2021-10-22,3.0,31.2,20.9,25.9,32.5,22.4,27.1,2021-10-22 00:41:00,2021-10-22 12:20:00,41924.78,39359.86,0.0,0.0,0.0,0.0,9.4,24.5,344.0,21.7,4.87,Hyderabad
2017-10-28,0.0,30.5,17.8,23.8,32.1,19.3,25.3,2017-10-28 00:43:00,2017-10-28 11:56:00,40373.71,36221.86,0.0,0.0,0.0,0.0,9.1,15.8,46.0,16.26,3.54,Lucknow
2022-08-05,63.0,27.8,22.4,23.8,32.1,25.7,27.8,2022-08-05 00:43:00,2022-08-05 13:37:00,46444.89,8760.05,20.9,20.9,0.0,19.0,11.8,26.3,241.0,10.71,2.21,Pune
2019-07-16,51.0,32.4,24.7,28.4,35.4,27.5,31.2,2019-07-16 00:20:00,2019-07-16 13:24:00,47017.08,43200.0,0.3,0.3,0.0,3.0,18.5,39.2,279.0,21.75,5.6,Hyderabad
2023-04-14,1.0,38.4,22.6,30.5,39.1,21.8,29.6,2023-04-14 00:25:00,2023-04-14 13:11:00,45998.62,40376.69,0.0,0.0,0.0,0.0,13.3,24.8,301.0,23.54,6.88,Agra
2021-05-11,51.0,34.7,27.7,30.8,39.3,33.6,35.8,2021-05-10 23:56:00,2021-05-11 12:50:00,46497.33,37908.33,0.4,0.4,0.0,1.0,24.6,51.8,220.0,21.39,5.5,Visakhapatnam
2017-01-23,1.0,33.0,19.9,25.6,34.8,21.2,26.3,2017-01-23 01:44:00,2017-01-23 12:56:00,40308.62,37584.45,0.0,0.0,0.0,0.0,16.4,31.3,356.0,19.52,4.99,Mumbai
2016-03-04,51.0,35.2,21.8,27.9,36.8,20.7,28.3,2016-03-04 01:28:00,2016-03-04 13:14:00,42374.79,39144.83,0.2,0.2,0.0,1.0,10.1,25.6,186.0,21.24,5.47,Ahmedabad
2022-05-27,1.0,33.8,22.4,27.2,34.6,24.1,27.9,2022-05-27 00:25:00,2022-05-27 13:38:00,47584.08,43200.0,0.0,0.0,0.0,0.0,24.1,48.6,256.0,24.74,6.81,Nashik
2019-10-25,63.0,24.8,21.4,23.2,28.9,23.6,26.7,2019-10-25 00:07:00,2019-10-25 11:34:00,41188.71,0.0,50.6,50.6,0.0,21.0,17.7,43.9,159.0,2.4,0.6,Howrah
2023-01-02,3.0,18.3,6.4,12.6,17.3,4.6,11.6,2023-01-02 01:44:00,2023-01-02 12:05:00,37318.09,33813.4,0.0,0.0,0.0,0.0,7.0,15.8,331.0,12.59,1.98,Delhi
2016-06-15,2.0,32.4,24.4,28.3,33.1,25.0,29.0,2016-06-15 00:11:00,2016-06-15 13:21:00,47372.29,43115.09,0.0,0.0,0.0,0.0,27.7,53.6,268.0,23.5,6.79,Hyderabad
2016-07-06,53.0,30.4,25.6,27.9,35.2,30.2,32.7,2016-07-05 23:51:00,2016-07-06 13:35:00,49436.39,5159.35,3.9,3.9,0.0,11.0,15.6,32.0,33.0,7.7,2.19,Kanpur
2022-02-22,3.0,30.2,16.6,23.1,30.6,17.8,24.9,2022-02-22 00:33:00,2022-02-22 12:06:00,41599.75,38588.78,0.0,0.0,0.0,0.0,10.0,21.2,172.0,18.23,3.83,Kolkata
2023-03-09,61.0,30.0,16.0,21.8,30.7,16.0,22.0,2023-03-09 00:52:00,2023-03-09 12:41:00,42557.22,31391.2,2.6,2.6,0.0,2.0,20.1,39.6,293.0,17.81,3.99,Lucknow
2022-09-25,61.0,27.5,24.0,25.9,33.7,28.4,30.8,2022-09-25 00:58:00,2022-09-25 13:02:00,43466.29,37596.34,4.9,4.9,0.0,13.0,12.1,26.3,243.0,19.23,3.62,Mumbai
2020-08-19,65.0,29.6,25.8,27.0,34.5,28.9,30.8,2020-08-18 23:44:00,2020-08-19 12:34:00,46191.46,17106.32,62.6,62.6,0.0,23.0,29.3,51.8,97.0,10.3,2.33,Kolkata
2017-01-26,61.0,25.8,11.8,19.0,26.1,11.2,19.1,2017-01-26 01:24:00,2017-01-26 12:13:00,38983.79,35461.63,2.4,2.4,0.0,3.0,13.0,28.1,96.0,16.87,3.24,Lucknow
2018-01-23,0.0,25.3,10.8,18.2,25.2,9.5,18.0,2018-01-23 00:48:00,2018-01-23 11:48:00,39621.52,35594.68,0.0,0.0,0.0,0.0,9.7,14.8,203.0,15.96,2.99,Howrah
