date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,city,Index Value,Air Quality,Prominent Pollutant
2019-07-15,53.0,33.9,26.4,29.3,40.7,30.4,34.5,2019-07-15 00:20:00,2019-07-15 13:09:00,46171.94,39482.94,1.7,1.7,0.0,3.0,18.6,38.5,192.0,22.27,5.08,Chennai,78,Satisfactory,PM2.5
2019-08-20,51.0,28.5,21.4,24.4,31.5,24.0,27.0,2019-08-20 00:47:00,2019-08-20 13:28:00,45667.22,37982.86,1.5,1.5,0.0,5.0,20.5,42.5,275.0,19.45,4.04,Pune,74,Satisfactory,SO2
2022-08-07,63.0,30.8,24.9,27.5,36.5,30.7,33.1,2022-08-07 00:16:00,2022-08-07 13:37:00,48089.26,16648.42,5.9,5.9,0.0,7.0,13.2,27.0,106.0,13.49,3.02,Delhi,118,Moderate,"PM10, PM2.5"
2022-12-26,2.0,24.4,14.0,18.3,24.6,13.5,18.4,2022-12-26 01:03:00,2022-12-26 11:36:00,37956.7,32454.55,0.0,0.0,0.0,0.0,8.7,14.0,318.0,11.28,2.23,Patna,352,Very Poor,"PM10, PM2.5"
2018-10-16,0.0,35.3,24.0,29.0,38.4,24.5,30.6,2018-10-16 01:06:00,2018-10-16 12:43:00,41797.93,37275.24,0.0,0.0,0.0,0.0,9.7,15.8,300.0,20.51,4.81,Ahmedabad,290,Poor,PM2.5
2023-06-17,51.0,39.4,26.4,32.9,42.4,30.7,36.5,2023-06-16 23:53:00,2023-06-17 13:50:00,50246.06,30810.98,0.3,0.3,0.0,2.0,15.2,40.3,237.0,20.8,6.17,Delhi,119,Moderate,"O3, PM10"
2019-02-18,2.0,31.8,18.6,25.0,32.3,19.9,25.3,2019-02-18 01:11:00,2019-02-18 12:56:00,42314.93,38889.05,0.0,0.0,0.0,0.0,13.7,24.1,56.0,24.07,5.52,Bengaluru,104,Moderate,"OZONE, PM10, PM2.5"
2021-09-26,65.0,27.7,25.7,26.9,34.2,27.8,31.4,2021-09-26 00:16:00,2021-09-26 12:20:00,43401.01,0.0,111.7,111.7,0.0,21.0,37.5,69.5,225.0,4.24,1.34,Visakhapatnam,101,Moderate,PM10
2017-09-12,61.0,30.7,25.7,27.9,38.0,31.7,34.3,2017-09-11 23:52:00,2017-09-12 12:13:00,44435.71,25824.92,5.7,5.7,0.0,11.0,12.4,27.4,173.0,14.04,2.95,Kolkata,64,Satisfactory,PM10
2023-11-14,1.0,34.0,22.0,27.5,36.9,24.1,30.0,2023-11-14 01:15:00,2023-11-14 12:30:00,40508.32,36395.53,0.0,0.0,0.0,0.0,14.8,30.6,341.0,18.41,4.53,Mumbai,168,Moderate,"O3, PM10, PM2.5"
