date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-12-07,Rupnagar,1,Moderate,117,PM10
2019-03-30,Bahadurgarh,1,Moderate,180,PM2.5
2020-02-13,Jind,1,Moderate,115,PM2.5
2021-12-22,Bhagalpur,2,Very Poor,341,PM2.5
2023-05-31,Bihar Sharif,1,Moderate,137,PM10
2019-06-15,Hubballi,1,Satisfactory,71,PM10
2022-06-09,Kannur,1,Satisfactory,53,PM2.5
2016-12-22,Nashik,1,Moderate,193,PM2.5
2023-07-10,Shillong,1,Good,21,SO2
2020-08-28,Bhiwadi,1,Moderate,124,PM10
2020-01-19,Kurukshetra,1,Moderate,117,PM2.5
2020-07-13,Alwar,1,Satisfactory,66,PM10
2018-09-15,Bulandshahr,1,Moderate,179,OZONE
2023-02-24,Alwar,1,Satisfactory,85,PM10
2019-07-06,Rohtak,1,Satisfactory,97,PM2.5
2022-02-12,Solapur,1,Satisfactory,77,PM2.5
2023-01-20,Madikeri,1,Good,50,O3
2023-12-23,Jabalpur,4,Moderate,190,"O3, PM2.5"
2023-06-11,Haldia,1,Good,49,PM10
2019-06-04,Vatva,1,Moderate,112,PM10
2023-01-03,Vijayapura,1,Satisfactory,53,PM10
2015-10-21,Delhi,5,Very Poor,318,"O3, PM2.5"
2020-10-22,Jalandhar,1,Moderate,127,PM2.5
2023-05-11,Palkalaiperur,1,Satisfactory,61,SO2
2021-09-16,Tirupati,1,Satisfactory,53,PM10
2019-06-03,Dewas,1,Moderate,128,PM10
2018-01-15,Agra,1,Very Poor,369,PM2.5
2021-06-30,Narnaul,1,Satisfactory,80,PM2.5
2020-04-18,Ernakulam,1,Satisfactory,75,CO
2019-06-16,Kanpur,1,Satisfactory,88,PM2.5
2018-01-05,Vijayawada,1,Moderate,156,PM2.5
2019-12-08,Dewas,1,Poor,232,PM2.5
2021-05-27,Thane,1,Satisfactory,98,PM10
2019-01-24,Faridabad,1,Poor,296,PM2.5
2023-11-25,Agartala,1,Moderate,104,PM10
2020-05-25,Muzaffarpur,1,Satisfactory,53,PM2.5
2020-02-24,Hisar,1,Moderate,171,PM2.5
2020-04-05,Hyderabad,3,Satisfactory,66,PM10
2023-02-07,Greater Noida,2,Poor,254,PM10
2019-02-04,Yamunanagar,1,Poor,232,PM2.5
2023-10-26,Firozabad,1,Moderate,106,PM2.5
2021-03-18,Thane,1,Poor,266,O3
2023-04-18,Satna,1,Moderate,115,PM10
2020-01-17,Siliguri,1,Poor,249,PM2.5
2017-10-12,Kolkata,1,Satisfactory,80,PM10
2022-01-11,Mangalore,1,Good,41,NO2
2023-07-03,Gorakhpur,1,Good,50,SO2
2021-08-01,Charkhi Dadri,1,Satisfactory,60,PM10
2021-04-26,Bhiwani,1,Moderate,133,PM10
2020-06-19,Mandi Gobindgarh,1,Moderate,115,PM2.5
2019-12-26,Dewas,1,Moderate,165,PM2.5
2019-05-14,Visakhapatnam,1,Moderate,126,PM10
2017-11-23,Faridabad,1,Poor,270,PM2.5
2023-12-10,Baran,1,Moderate,134,PM2.5
2022-07-01,Sirsa,1,Satisfactory,73,O3
2020-08-13,Udaipur,1,Good,46,CO
2020-01-14,Delhi,35,Poor,283,PM2.5
2022-10-08,Kurukshetra,1,Good,46,PM2.5
2023-12-24,Muzaffarpur,3,Poor,255,PM2.5
2015-10-04,Muzaffarpur,1,Moderate,132,PM10
2023-09-18,Bahadurgarh,1,Good,46,CO
2022-12-26,Meerut,3,Moderate,174,"PM10, PM2.5"
2022-09-03,Eloor,1,Satisfactory,51,PM10
2016-01-23,Gaya,1,Poor,210,PM2.5
2023-12-23,Tensa,1,Moderate,126,PM10
2022-07-28,Damoh,1,Good,22,CO
2019-03-14,Ahmedabad,1,Moderate,111,PM2.5
2021-09-25,Kota,1,Satisfactory,58,PM2.5
2022-07-28,Patiala,1,Satisfactory,55,PM10
2017-12-04,Pithampur,1,Poor,208,O3
2019-12-04,Kolkata,5,Poor,234,"PM10, PM2.5"
2021-02-19,Rohtak,1,Moderate,178,PM2.5
2020-12-26,Katni,1,Very Poor,321,PM2.5
2022-09-08,Madikeri,1,Good,18,SO2
2023-02-09,Narnaul,1,Moderate,181,PM2.5
2018-03-24,Talcher,1,Poor,213,PM10
2021-07-04,Vijayapura,1,Good,43,PM2.5
2016-05-06,Delhi,5,Moderate,192,"PM10, PM2.5"
2023-02-06,Mandikhera,1,Satisfactory,92,PM10
2018-04-05,Bengaluru,3,Moderate,118,"PM10, PM2.5"
2022-03-29,Bhagalpur,2,Poor,235,PM2.5
2022-04-14,Amaravati,1,Good,27,O3
2023-07-25,Chennai,6,Satisfactory,66,"CO, NO2"
2021-12-05,Thrissur,1,Good,36,PM10
2023-08-31,Haveri,1,Good,38,CO
2019-03-07,Jind,1,Moderate,119,PM10
2019-03-02,Palwal,1,Poor,245,PM2.5
2019-09-22,Hubballi,1,Satisfactory,90,PM10
2021-02-18,Sirsa,1,Moderate,139,PM2.5
2020-12-06,Coimbatore,1,Good,45,PM2.5
2022-01-08,Rajgir,1,Poor,259,PM2.5
2018-06-10,Khanna,1,Satisfactory,84,PM10
2021-03-25,Bhopal,1,Moderate,143,PM10
2018-11-15,Muzaffarpur,1,Very Poor,370,PM2.5
2018-07-28,Udaipur,1,Satisfactory,89,PM10
2017-04-23,Kanpur,1,Poor,222,PM2.5
2021-09-09,Ernakulam,1,Satisfactory,59,PM10
2023-02-24,Khurja,1,Satisfactory,89,PM2.5
2023-02-13,Katihar,1,Poor,240,PM10
2022-10-05,Khurja,1,Poor,211,PM2.5
2020-09-23,Aurangabad,1,Good,49,CO
2015-09-23,Bengaluru,3,Moderate,140,"CO, PM2.5"
2020-09-25,Agra,1,Satisfactory,54,PM2.5
2020-10-20,Sirsa,1,Moderate,170,PM2.5
2021-04-15,Udaipur,1,Satisfactory,92,PM10
2019-01-11,Udaipur,1,Poor,246,PM10
2023-09-19,Aurangabad (Bihar),1,Good,47,O3
2023-04-02,Bilaspur,1,Satisfactory,70,PM10
2020-10-04,Greater Noida,2,Poor,204,"PM10, PM2.5"
2019-08-16,Udaipur,1,Good,25,CO
2022-09-03,Talcher,1,Satisfactory,54,CO
2019-01-18,Pune,1,Poor,216,PM2.5
2020-09-17,Khanna,1,Satisfactory,95,PM10
