city_name,datetime,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
Kalyān,1997-02-08,3.0,30.4,15.6,22.1,29.5,15.6,22.3,1997-02-08 01:39:00,1997-02-08 13:03:00,41084.41,38425.04,0.0,0.0,0.0,0.0,12.1,28.8,277.0,21.72,4.65
Nāsik,2014-05-06,1.0,37.8,23.4,31.1,39.1,27.7,32.5,2014-05-06 00:32:00,2014-05-06 13:29:00,46634.22,42564.07,0.0,0.0,0.0,0.0,12.4,25.6,350.0,23.91,6.3
Ahmedabad,2001-07-10,63.0,30.4,25.3,26.8,35.1,29.7,31.8,2001-07-10 00:30:00,2001-07-10 13:58:00,48467.16,10641.56,19.8,19.8,0.0,15.0,13.5,31.0,216.0,9.43,2.18
Kalyān,2007-01-31,1.0,35.7,20.0,27.9,37.1,21.0,28.8,2007-01-31 01:42:00,2007-01-31 12:59:00,40632.87,37937.24,0.0,0.0,0.0,0.0,8.8,18.4,19.0,19.07,4.72
Jaipur,2000-09-20,1.0,35.1,22.7,29.9,36.4,23.6,30.8,2000-09-20 00:44:00,2000-09-20 12:55:00,43861.82,39658.49,0.0,0.0,0.0,0.0,14.8,30.2,66.0,17.84,5.23
Supaul,1984-02-17,1.0,26.9,12.0,19.8,26.1,10.3,18.5,1984-02-17 00:48:00,1984-02-17 12:06:00,40742.56,37961.56,0.0,0.0,0.0,0.0,9.5,22.3,260.0,19.96,4.25
Thāne,2023-01-11,0.0,33.0,15.3,22.5,32.8,14.6,22.2,2023-01-11 01:43:00,2023-01-11 12:47:00,39814.21,36292.21,0.0,0.0,0.0,0.0,13.6,29.2,331.0,17.87,4.23
Hāora,2007-12-15,2.0,25.4,18.1,21.5,25.7,17.2,21.8,2007-12-15 00:38:00,2007-12-15 11:24:00,38734.02,20797.22,0.0,0.0,0.0,0.0,14.0,28.4,8.0,6.84,2.19
Aurangābād,1982-05-13,0.0,38.4,23.0,30.5,38.1,25.3,31.1,1982-05-13 00:23:00,1982-05-13 13:26:00,46958.07,42962.34,0.0,0.0,0.0,0.0,20.2,36.7,275.0,25.77,7.7
Amritsar,2001-10-09,0.0,33.4,19.4,26.5,35.3,22.0,28.5,2001-10-09 00:59:00,2001-10-09 12:36:00,41770.66,38214.95,0.0,0.0,0.0,0.0,10.2,23.4,304.0,19.02,4.5
Farīdābād,1995-02-27,51.0,22.8,13.2,17.5,22.3,11.7,16.1,1995-02-27 01:18:00,1995-02-27 12:48:00,41459.62,37074.51,0.5,0.5,0.0,4.0,14.3,31.3,77.0,16.19,3.45
Jabalpur,2022-10-17,51.0,29.0,19.9,24.1,32.9,22.8,27.8,2022-10-17 00:38:00,2022-10-17 12:13:00,41705.03,39058.08,0.4,0.4,0.0,4.0,10.5,23.8,53.0,17.29,3.48
Kanpur,2010-10-29,0.0,28.6,15.3,22.9,29.7,15.0,23.4,2010-10-29 00:46:00,2010-10-29 11:59:00,40361.88,37589.0,0.0,0.0,0.0,0.0,8.3,14.4,34.0,19.04,3.72
Nāgpur,1982-04-20,0.0,37.9,25.4,32.0,38.1,24.5,31.1,1982-04-20 00:20:00,1982-04-20 13:04:00,45805.2,41973.71,0.0,0.0,0.0,0.0,11.1,25.9,50.0,24.66,7.16
Haldwāni,1995-06-27,55.0,29.5,24.7,27.0,35.1,29.3,32.3,1995-06-26 23:44:00,1995-06-27 13:44:00,50409.2,28057.77,6.8,6.8,0.0,9.0,8.4,22.0,44.0,12.92,2.88
Aurangābād,1988-01-05,0.0,28.6,15.9,22.1,27.9,14.6,20.9,1988-01-05 01:34:00,1988-01-05 12:32:00,39500.3,36031.77,0.0,0.0,0.0,0.0,12.2,29.9,287.0,18.39,4.43
Thāne,1994-05-28,3.0,35.7,28.0,30.7,41.8,33.9,36.0,1994-05-28 00:29:00,1994-05-28 13:40:00,47444.51,43100.21,0.0,0.0,0.0,0.0,19.1,41.0,271.0,23.72,5.78
Vasai-Virar,2022-02-08,2.0,25.2,17.6,21.5,26.7,19.0,23.0,2022-02-08 01:40:00,2022-02-08 13:05:00,41065.29,38285.25,0.0,0.0,0.0,0.0,16.8,35.3,313.0,19.94,3.76
Sūrat,2013-11-10,2.0,31.7,23.8,27.5,32.2,23.6,26.9,2013-11-10 01:16:00,2013-11-10 12:28:00,40333.39,36118.69,0.0,0.0,0.0,0.0,19.5,30.6,35.0,16.73,6.03
Amritsar,1993-01-16,51.0,14.6,6.3,10.7,13.1,4.1,9.1,1993-01-16 02:00:00,1993-01-16 12:19:00,37182.14,24909.73,0.9,0.9,0.0,3.0,13.4,32.0,209.0,7.22,1.15
Jamshedpur,1998-10-22,51.0,29.5,23.0,26.0,34.8,27.7,31.2,1998-10-22 00:14:00,1998-10-22 11:44:00,41378.72,30604.72,0.8,0.8,0.0,5.0,6.9,17.3,130.0,12.47,2.63
Vasai-Virar,2003-11-16,0.0,31.7,21.8,26.4,35.5,24.9,29.4,2003-11-16 01:17:00,2003-11-16 12:30:00,40368.38,36487.07,0.0,0.0,0.0,0.0,11.8,21.2,332.0,19.07,4.26
Kanpur,2011-06-27,63.0,31.6,25.5,27.6,38.1,30.8,33.9,2011-06-26 23:48:00,2011-06-27 13:35:00,49647.62,14926.91,13.0,13.0,0.0,20.0,10.6,19.8,106.0,11.69,2.56
Hyderābād,1997-12-07,2.0,26.6,19.5,22.6,25.7,21.3,23.1,1997-12-07 01:03:00,1997-12-07 12:11:00,40071.12,33012.05,0.0,0.0,0.0,0.0,16.7,35.3,112.0,12.6,3.25
Rānchi,1987-11-12,51.0,25.9,15.0,21.7,26.1,13.2,21.4,1987-11-12 00:30:00,1987-11-12 11:35:00,39873.61,35572.04,0.4,0.4,0.0,3.0,16.5,35.6,49.0,16.93,3.96
Alīgarh,1987-07-13,61.0,36.6,28.8,32.3,43.1,33.8,37.6,1987-07-13 00:00:00,1987-07-13 13:46:00,49581.73,41756.56,1.5,1.5,0.0,1.0,13.4,29.2,117.0,22.18,5.7
Pimpri-Chinchwad,2004-06-05,61.0,30.9,23.3,26.0,35.5,26.7,29.1,2004-06-05 00:27:00,2004-06-05 13:39:00,47529.07,42967.71,2.5,2.5,0.0,3.0,21.0,48.6,278.0,20.82,4.59
Guwāhāti,1981-06-14,63.0,33.1,26.4,29.5,42.2,32.6,36.8,1981-06-13 23:00:00,1981-06-14 12:45:00,49555.64,43828.5,21.8,21.8,0.0,15.0,5.7,23.8,73.0,22.46,4.81
Jabalpur,2017-11-24,0.0,26.2,12.8,18.5,24.9,11.1,17.2,2017-11-24 01:00:00,2017-11-24 11:53:00,39218.99,35934.3,0.0,0.0,0.0,0.0,10.9,22.3,24.0,16.62,3.61
Lucknow,2008-05-08,0.0,39.0,24.5,32.5,39.5,24.8,32.2,2008-05-07 23:52:00,2008-05-08 13:12:00,48016.93,45163.84,0.0,0.0,0.0,0.0,14.9,29.5,283.0,27.0,8.1
Prayagraj,2008-08-13,63.0,31.9,25.4,27.9,38.4,31.1,33.9,2008-08-13 00:05:00,2008-08-13 13:09:00,47040.56,22031.79,22.6,22.6,0.0,15.0,11.6,28.4,137.0,12.84,2.88
Jaipur,2014-06-19,51.0,38.7,30.6,34.1,42.1,33.2,36.5,2014-06-19 00:02:00,2014-06-19 13:52:00,49791.09,43200.0,0.3,0.3,0.0,1.0,17.7,37.1,245.0,22.09,7.35
Kalyān,1998-10-08,51.0,32.2,24.0,27.7,39.8,29.4,33.9,1998-10-08 00:59:00,1998-10-08 12:50:00,42631.31,37752.63,1.1,1.1,0.0,5.0,7.2,24.8,190.0,18.8,3.95
Supaul,2010-09-06,61.0,31.7,25.4,28.2,38.5,29.6,33.3,2010-09-05 23:55:00,2010-09-06 12:28:00,45158.42,32066.94,3.7,3.7,0.0,8.0,16.2,31.0,90.0,16.4,3.64
Āgra,1988-09-02,1.0,34.3,25.7,30.0,41.6,30.6,36.0,1988-09-02 00:27:00,1988-09-02 13:07:00,45576.86,41930.95,0.0,0.0,0.0,0.0,8.8,23.8,267.0,22.11,4.96
Patna,2010-03-18,1.0,34.3,19.7,27.1,36.5,21.4,28.4,2010-03-18 00:25:00,2010-03-18 12:29:00,43441.22,37047.86,0.0,0.0,0.0,0.0,8.5,23.4,213.0,19.31,4.73
Bilāspur,2020-01-05,0.0,21.6,10.9,15.7,20.8,9.1,14.5,2020-01-05 01:11:00,2020-01-05 12:01:00,38995.69,35299.2,0.0,0.0,0.0,0.0,14.8,27.7,4.0,16.25,2.86
Srīnagar,2019-10-10,0.0,20.4,5.9,12.5,19.2,3.3,11.0,2019-10-10 01:01:00,2019-10-10 12:34:00,41526.31,37937.35,0.0,0.0,0.0,0.0,9.1,24.8,87.0,18.25,3.12
Patna,2006-06-15,51.0,37.6,25.8,32.3,43.2,31.1,37.3,2006-06-14 23:28:00,2006-06-15 13:11:00,49421.32,46041.56,0.1,0.1,0.0,1.0,11.0,25.6,227.0,26.19,6.27
Vishākhapatnam,2011-11-04,0.0,29.5,20.5,25.0,31.2,22.6,26.9,2011-11-04 00:27:00,2011-11-04 11:54:00,41229.15,37886.03,0.0,0.0,0.0,0.0,14.5,28.8,49.0,20.91,4.67
Ahmedabad,1984-09-03,51.0,29.3,23.4,26.5,32.0,26.8,29.3,1984-09-03 00:52:00,1984-09-03 13:25:00,45156.66,29440.53,1.4,1.4,0.0,9.0,18.3,34.6,248.0,12.6,3.33
Chandīgarh,1988-12-19,53.0,20.6,12.7,15.9,18.8,10.7,14.4,1988-12-19 01:45:00,1988-12-19 11:54:00,36556.36,10015.87,2.4,2.4,0.0,10.0,11.3,24.1,86.0,5.82,1.63
Vishākhapatnam,2020-12-20,1.0,27.4,17.3,22.1,27.4,17.8,22.6,2020-12-20 00:52:00,2020-12-20 11:56:00,39849.84,37044.82,0.0,0.0,0.0,0.0,15.2,32.0,45.0,18.15,3.95
Pimpri-Chinchwad,2020-11-02,51.0,28.6,19.0,23.6,31.3,20.2,25.9,2020-11-02 01:05:00,2020-11-02 12:31:00,41157.91,36696.65,0.1,0.1,0.0,1.0,9.4,24.1,59.0,17.73,3.63
Sūrat,1982-07-10,61.0,30.5,26.4,28.3,34.4,30.3,31.9,1982-07-10 00:33:00,1982-07-10 13:54:00,48049.14,34330.48,5.5,5.5,0.0,15.0,25.8,42.8,209.0,17.88,4.38
Thāne,1988-03-30,2.0,33.6,21.4,26.6,37.1,25.0,30.0,1988-03-30 01:03:00,1988-03-30 13:21:00,44288.29,41703.44,0.0,0.0,0.0,0.0,15.3,29.5,285.0,26.43,5.81
Vijayavāda,1984-04-26,2.0,38.4,27.3,32.2,43.3,33.3,36.7,1984-04-26 00:15:00,1984-04-26 12:55:00,45612.7,40100.56,0.0,0.0,0.0,0.0,12.6,29.5,184.0,24.13,6.17
Ahmedabad,1993-10-27,51.0,32.5,23.3,27.8,36.8,26.2,31.6,1993-10-27 01:11:00,1993-10-27 12:35:00,40973.59,36705.64,0.2,0.2,0.0,1.0,5.2,21.6,43.0,18.57,3.95
